"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto"
"19.0","19.0","","","CHOCOLATE MISKY 8G BLANCO","500.0","","Unidades","DULCES"
"18.0","18.0","","","CHOCOLATE MISKY 8G NEGRO","500.0","","Unidades","DULCES"
"19.0","19.0","","","CHOCOLATIN DE A DOS","1500.0","","Unidades","DULCES"
"9.0","9.0","","","COMBO CLASICOS PATITAS + PAPAS","5200.0","","Unidades","COMBOS"
"9.0","9.0","","","COMBO MEDALLOS CLA. + PAPAS","6300.0","","Unidades","COMBOS"
"0.0","0.0","","","COND. PIZZA GRANEL","1.0","","kg","Insumos de Producción"
"10.0","10.0","","","CONO DDLL","2500.0","","Unidades","HELADOS"
"12.0","12.0","","","COPA 200 CC DDL Y VAIN","2500.0","","Unidades","HELADOS"
"12.0","12.0","","","COPA 360 CC VFD","2300.0","","Unidades","HELADOS"
"0.0","0.0","","","CURCUMA GRANEL","1.0","","kg","Insumos de Producción"
"4.0","4.0","","","DIET STEVIA 200MM","1700.0","","Unidades","DIETÉTICA / Saludable"
"10.0","10.0","","","DOS HERMANOS ARROZ LARGO FINO 500G","750.0","","Unidades","ALMACÉN / Básico"
"9.0","9.0","","","DULCY AZUCAR 1KG","1500.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","EMETH DULCE DE BATATA","1800.0","","Unidades","DIETÉTICA / Saludable"
"2.0","2.0","","","EMETH DULCE DE BATATA /C CHOCOLT.","2000.0","","Unidades","DIETÉTICA / Saludable"
"2.0","2.0","","","EMETH DULCE DE MEMBRILLO","1800.0","","Unidades","DIETÉTICA / Saludable"
"0.0","0.0","","","ENCENDEDOR KRASH","1000.0","","Unidades","CONVENIENCIA"
"0.0","0.0","","","ESTANCIA MENDOZA BLEND BLANCO","3700.0","","Unidades","ALCOHOL"
"0.0","0.0","","","FILM 600 MT","1.0","","Unidades","DESCARTABLES"
"0.0","0.0","","","FILM SEPARADOR 500G","1.0","","Unidades","DESCARTABLES"
"10.0","10.0","","","GARRAPINADA 70G","900.0","","Unidades","SNACKS / Fraccionado"
"0.72","0.72","","","GARRAPINADA GRANEL","1.0","","kg","Insumos de Producción"
