PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO,CANTIDAD,RASTREA_STOCK,ESTADO_STOCK
HALCONERO VINAGRE VINO,1700.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
HAMLET FRUTILLA,1200.0,DULCES,,0,19.0,SI,DISPONIBLE
JUGO NARANJA 1L BIG C,1300.0,BEBIDA,,0,12.0,SI,DISPONIBLE
KETCHUP HELLMANS 250G,2600.0,ALMACÉN,Básico,0,4.0,SI,DISPONIBLE
LA VIRGINIA CAFE SUAVE 100G,6200.0,ALMACÉN,Básico,0,6.0,SI,DISPONIBLE
LA VIRGINIA TE 10 X 25 SAQ,1300.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
LA VIRGINIA TE BOLDO 6 X 25 SAQ,2500.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE CEDRON 6 X 25,2400.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE CHAI 6 X 20,2800.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE DURAZNO 6 X 20,1900.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE FRUTILLA 6 X 20,2800.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE LIMON 6 X 20,2400.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE MANZANILLA 6 X 25,2000.0,ALMACÉN,Básico,0,0.0,NO,SIN CONFIGURAR
LA VIRGINIA TE MENTA 6 X 25,2000.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE MEZCLA HIERBAS 6 X,2200.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE ROJO 6 X 20,2800.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE TILO 6 X 25,4000.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE TILO/MANZANI/CEDRON,2900.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LA VIRGINIA TE VERDE 6 X 20,2000.0,ALMACÉN,Básico,0,1.0,SI,DISPONIBLE
LECHE 7 DIAS,1950.0,ALMACÉN,Básico,0,7.0,SI,DISPONIBLE
MANTECA TEODORO,1500.0,REFRIGERADOS,,0,5.0,SI,DISPONIBLE
MANÍ CERV. JAMÓN 170G,1850.0,SNACKS,Fraccionado,0,1.0,SI,DISPONIBLE
MANÍ CERV. PANCETA 170G,1850.0,SNACKS,Fraccionado,0,4.0,SI,DISPONIBLE
MANÍ CERV. PIZZA 170G,1850.0,SNACKS,Fraccionado,0,2.0,SI,DISPONIBLE
MANÍ SALADO 170G,1300.0,SNACKS,Fraccionado,0,27.0,SI,DISPONIBLE
MARROC CHICO 14G,1300.0,DULCES,,0,20.0,SI,DISPONIBLE
MAYONESA HELLAMNS 237G,1700.0,ALMACÉN,Básico,0,5.0,SI,DISPONIBLE
MEDALLON POLLO ESP / Q,7750.0,CONGELADOS,Rebozados,0,3.71,SI,DISPONIBLE
MEDALLON POLLO J/Q,8750.0,CONGELADOS,Rebozados,0,3.09,SI,DISPONIBLE
MEDALLON POLLO NATURAL,7750.0,CONGELADOS,Rebozados,0,5.44,SI,DISPONIBLE
MEDIATARDE SANDWICH X3,2500.0,SNACKS,,0,16.0,SI,DISPONIBLE
MILANESA POLLO,7000.0,CONGELADOS,Pollo Crudo,0,4.01,SI,DISPONIBLE
