"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto/Categoría principal","Categoría del producto/# Productos","Categoría del producto/Nombre","Productos/Categoría del producto","Seguimiento","Rastrear inventario","Tipo de producto"
"15.0","15.0","","","","MEDIATARDE SANDWICH X3","2500.0","","Unidades","","14","SNACKS","SNACKS","Por cantidad","True","Bienes"
"1.47","1.47","","","","MILANESA NALGA","14200.0","","kg","CONGELADOS","2","VACUNA","CONGELADOS / VACUNA","Por cantidad","True","Bienes"
"28.26","28.26","","","","MILANESA POLLO","8000.0","","kg","CONGELADOS","6","Pollo Crudo","CONGELADOS / Pollo Crudo","Por cantidad","True","Bienes"
"0.0","0.0","","","","MOLDE FREIDORA 20 X 50 U","200.0","","Unidades","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"0.8","0.8","","","","MUSLOS POLLO","4468.0","","kg","CONGELADOS","6","Pollo Crudo","CONGELADOS / Pollo Crudo","Por cantidad","True","Bienes"
"-1.0","-1.0","","","","Maizena 1kg","1.0","","Unidades","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.98","0.98","","","","Mani Cervezero Jamon y queso GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.32","0.32","","","","Mani Cervezero Panceta GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"1.17","1.17","","","","Mani Cervezero Pizza GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"1.0","1.0","","","","Mani Cervezero Tomate y Oliva GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"2.4","2.4","","","","Mapple Huevo","4500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"6.0","6.0","","","","NATURA MAYONESA  250G","1900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","NATURA MOSTAZA 250G","1000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"10.0","10.0","","","","NATURA ROCIO VEGETAL","4800.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"4.0","4.0","","","","NEVI ARVEJAS 340G","700.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"27.0","27.0","","","","NEVI CHOCLO AMARILLO 340G","1500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"5.0","5.0","","","","NEVI CHOCLO AMARILLO CREMOSO 340G","800.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"4.0","4.0","","","","NEVI LENTEJAS 340G","1000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"15.0","15.0","","","","OREGANO 25G","500.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"0.47","0.47","","","","OREGANO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"19.0","19.0","","","","PALITO  AGUA MANZANA","500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"20.0","20.0","","","","PALITO  CREMA  CHOCOLATE","1000.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"18.0","18.0","","","","PALITO  CREMA FRUTILLA","1000.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"18.0","18.0","","","","PALITO AGUA C DEL CIELO","500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"19.0","19.0","","","","PALITO AGUA NARANJA","500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"18.0","18.0","","","","PALITO AGUA UVA","500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"40.0","40.0","","","","PALITO BOMBOM","1500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"0.85","0.85","","","","PALITOS JULI-CROC GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"5.0","5.0","","","","PALITOS SALADOS 150G","1200.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"-3.31","-3.31","","","","PAN ","2000.0","","kg","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
